Sıra,İl Adı,Enlem,Boylam
1,ADANA,37,"35,321333"
2,ADIYAMAN,"37,764751","38,278561"
3,AFYONKARAHİSAR,"38,750714","30,556692"
4,AĞRI,"39,626922","43,021596"
5,AKSARAY,"38,36869","34,03698"
6,AMASYA,"40,64991","35,83532"
7,ANKARA,"39,92077","32,85411"
8,ANTALYA,"36,88414","30,70563"
9,ARDAHAN,"41,110481","42,702171"
10,ARTVİN,"41,18277","41,818292"
11,AYDIN,"37,856041","27,841631"
12,BALIKESİR,"39,648369","27,88261"
13,BARTIN,"41,581051","32,460979"
14,BATMAN,"37,881168","41,13509"
15,BAYBURT,"40,255169","40,22488"
16,BİLECİK,"40,056656","30,066524"
17,BİNGÖL,"39,062635","40,76961"
18,BİTLİS,"38,393799","42,12318"
19,BOLU,"40,575977","31,578809"
20,BURDUR,"37,461267","30,066524"
21,BURSA,"40,266864","29,063448"
22,ÇANAKKALE,"40,155312","26,41416"
23,ÇANKIRI,"40,601343","33,613421"
24,ÇORUM,"40,550556","34,955556"
25,DENİZLİ,"37,77652","29,08639"
26,DİYARBAKIR,"37,91441","40,230629"
27,DÜZCE,"40,843849","31,15654"
28,EDİRNE,"41,681808","26,562269"
29,ELAZIĞ,"38,680969","39,226398"
30,ERZİNCAN,"39,75","39,5"
31,ERZURUM,"39,9","41,27"
32,ESKİŞEHİR,"39,776667","30,520556"
33,GAZİANTEP,"37,06622","37,38332"
34,GİRESUN,"40,912811","38,38953"
35,GÜMÜŞHANE,"40,438588","39,508556"
36,HAKKARİ,"37,583333","43,733333"
37,HATAY,"36,401849","36,34981"
38,IĞDIR,"39,887984","44,004836"
39,ISPARTA,"37,764771","30,556561"
40,İSTANBUL,"41,00527","28,97696"
41,İZMİR,"38,41885","27,12872"
42,KAHRAMANMARAŞ,"37,585831","36,937149"
43,KARABÜK,"41,2061","32,62035"
44,KARAMAN,"37,17593","33,228748"
45,KARS,"40,616667","43,1"
46,KASTAMONU,"41,38871","33,78273"
47,KAYSERİ,"38,73122","35,478729"
48,KIRIKKALE,"39,846821","33,515251"
49,KIRKLARELİ,"41,733333","27,216667"
50,KIRŞEHİR,"39,14249","34,17091"
51,KİLİS,"36,718399","37,12122"
52,KOCAELİ,"40,85327","29,88152"
53,KONYA,"37,866667","32,483333"
54,KÜTAHYA,"39,416667","29,983333"
55,MALATYA,"38,35519","38,30946"
56,MANİSA,"38,619099","27,428921"
57,MARDİN,"37,321163","40,724477"
58,MERSİN,"36,8","34,633333"
59,MUĞLA,"37,215278","28,363611"
60,MUŞ,"38,946189","41,753893"
61,NEVŞEHİR,"38,69394","34,685651"
62,NİĞDE,"37,966667","34,683333"
63,ORDU,"40,983879","37,876411"
64,OSMANİYE,"37,213026","36,176261"
65,RİZE,"41,02005","40,523449"
66,SAKARYA,"40,693997","30,435763"
67,SAMSUN,"41,292782","36,33128"
68,SİİRT,"37,933333","41,95"
69,SİNOP,"42,02314","35,153069"
70,SİVAS,"39,747662","37,017879"
71,ŞANLIURFA,"37,159149","38,796909"
72,ŞIRNAK,"37,418748","42,491834"
73,TEKİRDAĞ,"40,983333","27,516667"
74,TOKAT,"40,316667","36,55"
75,TRABZON,"41,00145","39,7178"
76,TUNCELİ,"39,307355","39,438778"
77,UŞAK,"38,682301","29,40819"
78,VAN,"38,48914","43,40889"
79,YALOVA,"40,65","29,266667"
80,YOZGAT,"39,818081","34,81469"
81,ZONGULDAK,"41,456409","31,798731"