Id,BolgeId,SehirAd,Nufus,
1,1,Adana,2201670,Akdeniz Bölgesi
2,4,Adıyaman,610484,Güneydoğu Anadolu Bölgesi
3,3,Afyonkarahisar,714523,Ege Bölgesi
4,2,Ağrı,542255,Doğu Anadolu Bölgesi
5,6,Amasya,326351,Karadeniz Bölgesi
6,5,Ankara,5346518,İç Anadolu Bölgesi
7,1,Antalya,2328555,Akdeniz Bölgesi
8,6,Artvin,168068,Karadeniz Bölgesi
9,3,Aydın,1068260,Ege Bölgesi
10,7,Balıkesir,1196176,Marmara Bölgesi
11,7,Bilecik,218297,Marmara Bölgesi
12,2,Bingöl,269560,Doğu Anadolu Bölgesi
13,2,Bitlis,341225,Doğu Anadolu Bölgesi
14,6,Bolu,299896,Karadeniz Bölgesi
15,1,Burdur,261401,Akdeniz Bölgesi
16,7,Bursa,2901396,Marmara Bölgesi
17,7,Çanakkale,519793,Marmara Bölgesi
18,5,Çankırı,183880,İç Anadolu Bölgesi
19,6,Çorum,527863,Karadeniz Bölgesi
20,3,Denizli,1005687,Ege Bölgesi
21,4,Diyarbakır,1673119,Güneydoğu Anadolu Bölgesi
22,7,Edirne,401701,Marmara Bölgesi
23,2,Elazığ,578789,Doğu Anadolu Bölgesi
24,2,Erzincan,226032,Doğu Anadolu Bölgesi
25,2,Erzurum,762021,Doğu Anadolu Bölgesi
26,5,Eskişehir,844842,İç Anadolu Bölgesi
27,4,Gaziantep,1974244,Güneydoğu Anadolu Bölgesi
28,6,Giresun,444467,Karadeniz Bölgesi
29,6,Gümüşhane,172034,Karadeniz Bölgesi
30,2,Hakkari,267813,Doğu Anadolu Bölgesi
31,1,Hatay,1555165,Akdeniz Bölgesi
32,1,Isparta,427324,Akdeniz Bölgesi
33,1,Mersin,1773852,Akdeniz Bölgesi
34,7,İstanbul,14804116,Marmara Bölgesi
35,3,İzmir,4223545,Ege Bölgesi
36,2,Kars,289786,Doğu Anadolu Bölgesi
37,6,Kastamonu,376945,Karadeniz Bölgesi
38,5,Kayseri,1358980,İç Anadolu Bölgesi
39,7,Kırklareli,351684,Marmara Bölgesi
40,5,Kırşehir,229975,İç Anadolu Bölgesi
41,7,Kocaeli,1830772,Marmara Bölgesi
42,5,Konya,2161303,İç Anadolu Bölgesi
43,3,Kütahya,573642,Ege Bölgesi
44,2,Malatya,781305,Doğu Anadolu Bölgesi
45,3,Manisa,1396945,Ege Bölgesi
46,1,Kahramanmaraş,1112634,Akdeniz Bölgesi
47,4,Mardin,796237,Güneydoğu Anadolu Bölgesi
48,3,Muğla,923773,Ege Bölgesi
49,2,Muş,406501,Doğu Anadolu Bölgesi
50,5,Nevşehir,290895,İç Anadolu Bölgesi
51,5,Niğde,351468,İç Anadolu Bölgesi
52,6,Ordu,750588,Karadeniz Bölgesi
53,6,Rize,331048,Karadeniz Bölgesi
54,7,Sakarya,976948,Marmara Bölgesi
55,6,Samsun,1295927,Karadeniz Bölgesi
56,4,Siirt,322664,Güneydoğu Anadolu Bölgesi
57,6,Sinop,205478,Karadeniz Bölgesi
58,5,Sivas,621224,İç Anadolu Bölgesi
59,7,Tekirdağ,972875,Marmara Bölgesi
60,6,Tokat,602662,Karadeniz Bölgesi
61,6,Trabzon,779379,Karadeniz Bölgesi
62,2,Tunceli,82193,Doğu Anadolu Bölgesi
63,4,Şanlıurfa,1940627,Güneydoğu Anadolu Bölgesi
64,3,Uşak,358736,Ege Bölgesi
65,2,Van,1100190,Doğu Anadolu Bölgesi
66,5,Yozgat,421041,İç Anadolu Bölgesi
67,6,Zonguldak,597524,Karadeniz Bölgesi
68,5,Aksaray,396673,İç Anadolu Bölgesi
69,6,Bayburt,90154,Karadeniz Bölgesi
70,5,Karaman,245610,İç Anadolu Bölgesi
71,5,Kırıkkale,277984,İç Anadolu Bölgesi
72,4,Batman,576899,Güneydoğu Anadolu Bölgesi
73,4,Şırnak,483788,Güneydoğu Anadolu Bölgesi
74,6,Bartın,192389,Karadeniz Bölgesi
75,2,Ardahan,98335,Doğu Anadolu Bölgesi
76,2,Iğdır,192785,Doğu Anadolu Bölgesi
77,7,Yalova,241665,Marmara Bölgesi
78,6,Karabük,242347,Karadeniz Bölgesi
79,4,Kilis,130825,Güneydoğu Anadolu Bölgesi
80,1,Osmaniye,522175,Akdeniz Bölgesi
81,6,Düzce,370371,Karadeniz Bölgesi